#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 16:02:46 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9163500,60,19083,2005,1,3117,
USGS,9163500,60,19083,2005,2,3050,
USGS,9163500,60,19083,2005,3,3585,
USGS,9163500,60,19083,2005,4,7511,
USGS,9163500,60,19083,2005,5,16110,
USGS,9163500,60,19083,2005,6,15750,
USGS,9163500,60,19083,2005,7,7121,
USGS,9163500,60,19083,2005,8,4035,
USGS,9163500,60,19083,2005,9,4194,
USGS,9163500,60,19083,2005,10,4688,
USGS,9163500,60,19083,2005,11,3928,
USGS,9163500,60,19083,2005,12,3308,
USGS,9163500,60,19083,2006,1,3165,
USGS,9163500,60,19083,2006,2,3012,
USGS,9163500,60,19083,2006,3,3453,
USGS,9163500,60,19083,2006,4,7975,
USGS,9163500,60,19083,2006,5,13140,
USGS,9163500,60,19083,2006,6,9289,
USGS,9163500,60,19083,2006,7,4836,
USGS,9163500,60,19083,2006,8,4182,
USGS,9163500,60,19083,2006,9,4595,
USGS,9163500,60,19083,2006,10,5801,
USGS,9163500,60,19083,2006,11,4326,
USGS,9163500,60,19083,2006,12,4269,
USGS,9163500,60,19083,2007,1,3864,
USGS,9163500,60,19083,2007,2,3460,
USGS,9163500,60,19083,2007,3,4709,
USGS,9163500,60,19083,2007,4,5048,
USGS,9163500,60,19083,2007,5,10200,
USGS,9163500,60,19083,2007,6,8872,
USGS,9163500,60,19083,2007,7,3786,
USGS,9163500,60,19083,2007,8,3662,
USGS,9163500,60,19083,2007,9,4488,
USGS,9163500,60,19083,2007,10,4617,
USGS,9163500,60,19083,2007,11,3913,
USGS,9163500,60,19083,2007,12,3725,
USGS,9163500,60,19083,2008,1,3636,
USGS,9163500,60,19083,2008,2,4394,
USGS,9163500,60,19083,2008,3,3758,
USGS,9163500,60,19083,2008,4,8474,
USGS,9163500,60,19083,2008,5,22020,
USGS,9163500,60,19083,2008,6,25970,
USGS,9163500,60,19083,2008,7,10850,
USGS,9163500,60,19083,2008,8,4871,
USGS,9163500,60,19083,2008,9,4926,
USGS,9163500,60,19083,2008,10,4514,
USGS,9163500,60,19083,2008,11,3734,
USGS,9163500,60,19083,2008,12,3206,
USGS,9163500,60,19083,2009,1,3229,
USGS,9163500,60,19083,2009,2,3191,
USGS,9163500,60,19083,2009,3,3493,
USGS,9163500,60,19083,2009,4,6154,
USGS,9163500,60,19083,2009,5,20390,
USGS,9163500,60,19083,2009,6,17910,
USGS,9163500,60,19083,2009,7,8503,
USGS,9163500,60,19083,2009,8,4066,
USGS,9163500,60,19083,2009,9,3673,
USGS,9163500,60,19083,2009,10,3959,
USGS,9163500,60,19083,2009,11,3254,
USGS,9163500,60,19083,2009,12,2675,
USGS,9163500,60,19083,2010,1,2502,
USGS,9163500,60,19083,2010,2,2536,
USGS,9163500,60,19083,2010,3,2579,
USGS,9163500,60,19083,2010,4,5349,
USGS,9163500,60,19083,2010,5,9452,
USGS,9163500,60,19083,2010,6,16980,
USGS,9163500,60,19083,2010,7,4242,
USGS,9163500,60,19083,2010,8,4218,
USGS,9163500,60,19083,2010,9,3452,
USGS,9163500,60,19083,2010,10,3903,
USGS,9163500,60,19083,2010,11,3382,
USGS,9163500,60,19083,2010,12,3022,
USGS,9163500,60,19083,2011,1,2636,
USGS,9163500,60,19083,2011,2,2906,
USGS,9163500,60,19083,2011,3,3915,
USGS,9163500,60,19083,2011,4,7325,
USGS,9163500,60,19083,2011,5,18210,
USGS,9163500,60,19083,2011,6,35520,
