Gage,Year,Simulated Flow (acre-feet/month),Simulated Flow (m3/s)
9163500,1943,430448,201.9015487
9163500,1943,283420,132.9380946
9163500,1943,209664,98.34285744
9163500,1943,183263,85.95947365
9163500,1943,205338,96.313748
9163500,1943,171420,80.40451686
9163500,1944,150585,70.63186426
9163500,1944,137609,64.54547404
9163500,1944,158781,74.47619643
9163500,1944,241673,113.3566725
9163500,1944,655724,307.5672116
9163500,1944,42125,19.75872286
9163500,1944,449109,210.654487
9163500,1944,163423,76.6535256
9163500,1944,136999,64.25935366
9163500,1944,164179,77.00812725
9163500,1944,195963,91.91640612
9163500,1944,170648,80.04241041
9163500,1945,151388,71.00851125
9163500,1945,131948,61.89018312
9163500,1945,153193,71.85514614
9163500,1945,219746,103.0718175
9163500,1945,698435,327.6007976
9163500,1945,925351,434.0357023
9163500,1945,604429,283.5073021
9163500,1945,390186,183.0166656
9163500,1945,215891,101.2636306
9163500,1945,208410,97.75466899
9163500,1945,198272,92.99944211
9163500,1945,163905,76.87960761
9163500,1946,157163,73.71727385
9163500,1946,134613,63.14020084
9163500,1946,159173,74.66006395
9163500,1946,260075,121.988127
9163500,1946,492204,230.8681882
9163500,1946,832636,390.54775
9163500,1946,306314,143.6765207
9163500,1946,186251,87.36099446
9163500,1946,172534,80.92703834
9163500,1946,188004,88.18323876
9163500,1946,183287,85.97073085
9163500,1946,158185,74.19664275
9163500,1947,136697,64.11770062
9163500,1947,132341,62.07451969
9163500,1947,156130,73.2327454
9163500,1947,203824,95.60360661
9163500,1947,50242,23.56600009
9163500,1947,192253,90.17623136
9163500,1947,857230,402.0835608
9163500,1947,351000,164.6364801
9163500,1947,262422,123.0889868
9163500,1947,260944,122.3957312
9163500,1947,231970,108.8054823
9163500,1947,187324,87.86428489
9163500,1948,162921,76.4180626
9163500,1948,162062,76.01514882
9163500,1948,195434,91.66827878
9163500,1948,517091,242.5414306
9163500,1948,283704,133.0713047
9163500,1948,955260,448.0645127
9163500,1948,371828,174.4058493
9163500,1948,228179,107.0273145
9163500,1948,149714,70.22332188
9163500,1948,166180,77.9466959
9163500,1948,201189,94.36766038
9163500,1948,179106,84.00963363
9163500,1949,149384,70.06853545
9163500,1949,142933,67.04269518
9163500,1949,180000,84.42896415
9163500,1949,397340,186.3722479
9163500,1949,685160,321.3741615
9163500,1949,305662,143.3707002
9163500,1949,683613,320.6485415
9163500,1949,263578,123.6312084
9163500,1949,219352,102.8870119
9163500,1949,197422,92.60074978
9163500,1949,196922,92.36622488
9163500,1949,160500,75.28249303
9163500,1950,154944,72.67645234
9163500,1950,148764,69.77772457
9163500,1950,168883,79.21453751
9163500,1950,376938,176.8026938
9163500,1950,487393,228.6115896
9163500,1950,24937,11.69669488
9163500,1950,343847,161.2813669
9163500,1950,158472,74.33126004
9163500,1950,194294,91.133562
9163500,1950,184759,86.66117215
9163500,1950,167369,78.50439612
9163500,1950,167450,78.54238915
9163500,1951,142731,66.94794712
9163500,1951,131643,61.74712293
9163500,1951,160638,75.34722191
9163500,1951,137633,64.55673124
9163500,1951,597324,280.1747032
9163500,1951,90307,42.35848036
9163500,1951,564727,264.8850869
9163500,1951,245265,115.0414994
9163500,1951,154034,72.24961702
9163500,1951,198175,92.95394428
9163500,1951,187293,87.84974435
9163500,1951,174410,81.80697576
9163500,1952,182068,85.39895914
9163500,1952,143862,67.47844245
9163500,1952,165205,77.48937235
9163500,1952,565883,265.4273084
9163500,1952,642683,301.4503332
9163500,1952,124761,58.5191222
9163500,1952,615577,288.7362692
9163500,1952,368977,173.0685884
9163500,1952,205897,96.57594684
9163500,1952,156674,73.4879085
9163500,1952,198458,93.08668537
9163500,1952,188383,88.36100863
9163500,1953,182844,85.76294178
9163500,1953,140228,65.77391547
9163500,1953,167498,78.56490354
9163500,1953,176770,82.91393329
9163500,1953,447876,210.0761486
9163500,1953,221515,103.9015666
9163500,1953,337662,158.3802938
9163500,1953,264070,123.8619809
9163500,1953,145789,68.38230141
9163500,1953,153609,72.05027086
9163500,1953,197332,92.5585353
9163500,1953,154178,72.31716019
9163500,1954,159230,74.68679979
9163500,1954,115015,53.94776284
9163500,1954,137174,64.34143738
9163500,1954,128015,60.04541025
9163500,1954,332787,156.0936761
9163500,1954,216105,101.3640072
9163500,1954,154142,72.3002744
9163500,1954,103991,48.77695784
9163500,1954,157649,73.94523205
9163500,1954,204822,96.07171831
9163500,1954,169320,79.41951228
9163500,1954,144211,67.64214083
9163500,1955,133075,62.41880225
9163500,1955,121852,57.15465633
9163500,1955,184763,86.66304835
9163500,1955,230135,107.9447759
9163500,1955,528633,247.9552034
9163500,1955,628281,294.6950779
9163500,1955,225795,105.9090998
9163500,1955,186747,87.59364316
9163500,1955,116164,54.48670106
9163500,1955,142037,66.62242656
9163500,1955,165164,77.47014131
9163500,1955,159814,74.96072487
9163500,1956,142062,66.63415281
9163500,1956,126933,59.53789837
9163500,1956,157830,74.03013007
9163500,1956,251740,118.0785969
9163500,1956,795175,372.9766754
9163500,1956,820432,384.8234662
9163500,1956,168963,79.2520615
9163500,1956,126751,59.45253131
9163500,1956,112738,52.87973645
9163500,1956,116645,54.71231402
9163500,1956,153762,72.12203548
9163500,1956,133067,62.41504985
9163500,1957,138814,65.11067905
9163500,1957,143836,67.46624715
9163500,1957,155346,72.86501036
9163500,1957,257198,120.6386707
9163500,1957,995157,466.7781926
9163500,1957,447150,209.7356184
9163500,1957,740578,347.3679634
9163500,1957,575594,269.9822511
9163500,1957,288805,135.4639277
9163500,1957,280205,131.4300994
9163500,1957,272556,127.8423375
9163500,1957,225451,105.7477466
9163500,1958,172383,80.85621182
9163500,1958,188674,88.49750212
9163500,1958,209476,98.25467608
9163500,1958,393129,184.3970792
9163500,1958,619304,290.4844179
9163500,1958,381743,179.0564781
9163500,1958,219435,102.925943
9163500,1958,136144,63.85831608
9163500,1958,167992,78.79661414
9163500,1958,146535,68.73221257
9163500,1958,195454,91.67765977
9163500,1958,172339,80.83557363
9163500,1959,151784,71.19425497
9163500,1959,138242,64.84238257
9163500,1959,146931,68.91795629
9163500,1959,120437,56.49095086
9163500,1959,399367,187.3230118
9163500,1959,942396,442.0306561
9163500,1959,224676,105.3842331
9163500,1959,166509,78.10101329
9163500,1959,137777,64.62427441
9163500,1959,278139,130.4610426
9163500,1959,192207,90.15465507
9163500,1959,146450,68.69234333
9163500,1960,137098,64.30578959
9163500,1960,126070,59.13310839
9163500,1960,225233,105.6454938
9163500,1960,441017,206.858936
9163500,1960,560148,262.7373078
9163500,1960,19898,9.333152937
9163500,1960,268517,125.9478454
9163500,1960,131468,61.66503922
9163500,1960,126898,59.52148163
9163500,1960,145961,68.46297798
9163500,1960,177070,83.05464823
9163500,1960,151451,71.03806139
9163500,1961,124882,58.57587723
9163500,1961,119586,56.09178948
9163500,1961,152989,71.75945998
9163500,1961,142213,66.70497933
9163500,1961,467416,219.2413817
9163500,1961,610046,286.1419548
9163500,1961,139126,65.25702259
9163500,1961,131450,61.65659632
9163500,1961,318278,149.2882325
9163500,1961,352966,165.558632
9163500,1961,243689,114.3022769
9163500,1961,180287,84.56358144
9163500,1962,153823,72.15064751
9163500,1962,202468,94.96757508
9163500,1962,177046,83.04339104
9163500,1962,739006,346.6306171
9163500,1962,351482,164.8625621
9163500,1962,403638,189.3263235
9163500,1962,735632,345.0480431
9163500,1962,223265,104.7224038
9163500,1962,185714,87.10911471
9163500,1962,193404,90.71610768
9163500,1962,212591,99.71576621
9163500,1962,173453,81.3580951
9163500,1963,164510,77.16338274
9163500,1963,173964,81.59777955
9163500,1963,183539,86.0889314
9163500,1963,180186,84.51620741
9163500,1963,440946,206.8256335
9163500,1963,327766,153.738577
9163500,1963,122125,57.28270693
9163500,1963,170110,79.79006162
9163500,1963,161500,75.75154283
9163500,1963,136606,64.07501709
9163500,1963,183410,86.02842397
9163500,1963,143658,67.38275629
9163500,1964,127891,59.98724808
9163500,1964,114035,53.48809404
9163500,1964,129843,60.90283329
9163500,1964,167401,78.51940571
9163500,1964,680037,318.9712194
9163500,1964,780110,365.9104401
9163500,1964,309216,145.0377032
9163500,1964,243271,114.1062141
9163500,1964,145736,68.35744177
9163500,1964,157492,73.87159123
9163500,1964,183183,85.92194967
9163500,1964,176798,82.92706669
9163500,1965,162858,76.38851246
9163500,1965,137741,64.60738862
9163500,1965,152270,71.42221317
9163500,1965,364574,171.0033621
9163500,1965,942725,442.1849735
9163500,1965,559219,262.3015606
9163500,1965,48726,22.8549206
9163500,1965,412833,193.6392364
9163500,1965,372876,174.8974135
9163500,1965,295823,138.7557192
9163500,1965,217087,101.8246141
9163500,1965,211370,99.1430564
9163500,1966,159642,74.8800483
9163500,1966,136454,64.00372152
9163500,1966,202869,95.15566405
9163500,1966,273950,128.4961929
9163500,1966,510886,239.6309765
9163500,1966,393307,184.48057
9163500,1966,182698,85.69446051
9163500,1966,120852,56.68560653
9163500,1966,145239,68.12432402
9163500,1966,185248,86.89053751
9163500,1966,163148,76.52453691
9163500,1966,171812,80.58838438
9163500,1967,141752,66.48874737
9163500,1967,130953,61.42347857
9163500,1967,168100,78.84727152
9163500,1967,161201,75.61129694
9163500,1967,370523,173.7937394
9163500,1967,725781,340.4274335
9163500,1967,335309,157.2766197
9163500,1967,151892,71.24491235
9163500,1967,179779,84.32530414
9163500,1967,181195,84.98947866
9163500,1967,226526,106.2519752
9163500,1967,259214,121.5842751
9163500,1968,206576,96.89443166
9163500,1968,194506,91.23300056
9163500,1968,176639,82.85248777
9163500,1968,159347,74.74167861
9163500,1968,497733,233.4615645
9163500,1968,62459,29.29638151
9163500,1968,330267,154.9116706
9163500,1968,368281,172.7421297
9163500,1968,166932,78.29942135
9163500,1968,227271,106.6014173
9163500,1968,261884,122.836638
9163500,1968,255874,120.0176487
9163500,1969,266255,124.8868547
9163500,1969,176989,83.0166552
9163500,1969,243160,114.0541496
9163500,1969,455984,213.8792044
9163500,1969,776920,364.4141713
9163500,1969,702403,329.4619873
9163500,1969,424137,198.9413754
9163500,1969,202590,95.02479915
9163500,1969,243188,114.067283
9163500,1969,356018,166.990172
9163500,1969,288838,135.4794064
9163500,1969,250828,117.6508234
9163500,1970,230954,108.3289277
9163500,1970,209132,98.09332295
9163500,1970,251615,118.0199656
9163500,1970,247385,116.035885
9163500,1970,64298,30.15896409
9163500,1970,278304,130.5384358
9163500,1970,534599,250.7535545
9163500,1970,267231,125.3446473
9163500,1970,380358,178.4068441
9163500,1970,366348,171.8354564
9163500,1970,316494,148.4514477
9163500,1970,298640,140.0770325
9163500,1971,312754,146.6972014
9163500,1971,298611,140.0634301
9163500,1971,367849,172.5395002
9163500,1971,453894,212.8988903
9163500,1971,596884,279.9683213
9163500,1971,115260,54.06268004
9163500,1971,511543,239.9391423
9163500,1971,259002,121.4848365
9163500,1971,312016,146.3510427
9163500,1971,280760,131.6904221
9163500,1971,262957,123.3399285
9163500,1971,258658,121.3234834
9163500,1972,227876,106.8851924
9163500,1972,210009,98.50467962
9163500,1972,234146,109.8261347
9163500,1972,134301,62.9938573
9163500,1972,386142,181.1198282
9163500,1972,805160,377.6601376
9163500,1972,187837,88.10490744
9163500,1972,122079,57.26113064
9163500,1972,229187,107.5001167
9163500,1972,311214,145.9748647
9163500,1972,288049,135.1093261
9163500,1972,278670,130.710108
9163500,1973,267736,125.5815175
9163500,1973,186440,87.44964487
9163500,1973,206625,96.9174151
9163500,1973,202750,95.09984712
9163500,1973,974030,456.8685775
9163500,1973,347272,162.8878624
9163500,1973,708107,332.1374473
9163500,1973,344966,161.8062336
9163500,1973,221439,103.8659188
9163500,1973,227629,106.7693371
9163500,1973,237397,111.3510156
9163500,1973,285172,133.7598698
9163500,1974,299933,140.6835139
9163500,1974,281490,132.0328284
9163500,1974,340657,159.785098
9163500,1974,275635,129.2865419
9163500,1974,856786,401.8753027
9163500,1974,788701,369.940047
9163500,1974,311016,145.8819929
9163500,1974,178302,83.63251759
9163500,1974,165568,77.65963742
9163500,1974,181191,84.98760246
9163500,1974,244082,114.4866135
9163500,1974,216563,101.578832
9163500,1975,230552,108.1403697
9163500,1975,198260,92.99381351
9163500,1975,223359,104.7664945
9163500,1975,269045,126.1955037
9163500,1975,748802,351.225429
9163500,1975,172605,80.96034087
9163500,1975,811164,380.4763126
9163500,1975,251083,117.7704311
9163500,1975,195266,91.58947841
9163500,1975,239535,112.353844
9163500,1975,285557,133.940454
9163500,1975,279024,130.8761516
9163500,1976,237364,111.3355369
9163500,1976,200764,94.16831421
9163500,1976,203513,95.45773212
9163500,1976,180278,84.55935999
9163500,1976,515007,241.5639308
9163500,1976,582359,273.155373
9163500,1976,268035,125.7217634
9163500,1976,172775,81.04007934
9163500,1976,179871,84.36845673
9163500,1976,221571,103.9278334
9163500,1976,215546,101.1018084
9163500,1976,213586,100.1824708
9163500,1977,199006,93.34372467
9163500,1977,147060,68.97846371
9163500,1977,146234,68.59102858
9163500,1977,79905,37.47942434
9163500,1977,123115,57.74706623
9163500,1977,167176,78.4138695
9163500,1977,104714,49.11608084
9163500,1977,86522,40.58312687
9163500,1977,125584,58.90515019
9163500,1977,154455,72.44708699
9163500,1977,150158,70.43157999
9163500,1977,138386,64.90992574
9163500,1978,135110,63.37331859
9163500,1978,125547,58.88779535
9163500,1978,166420,78.05926786
9163500,1978,266174,124.8488617
9163500,1978,649947,304.8575109
9163500,1978,280042,131.3536443
9163500,1978,531478,249.28965
9163500,1978,180509,84.6677105
9163500,1978,188711,88.51485697
9163500,1978,212474,99.66088738
9163500,1978,225449,105.7468085
9163500,1978,235681,110.5461261
9163500,1979,230096,107.926483
9163500,1979,246662,115.696762
9163500,1979,331591,155.5326925
9163500,1979,432048,202.6520284
9163500,1979,96054,45.05410957
9163500,1979,414646,194.4896237
9163500,1979,719274,337.3753264
9163500,1979,297283,139.4405319
9163500,1979,221901,104.0826199
9163500,1979,226560,106.2679229
9163500,1979,216974,101.7716115
